21, Private, 348092, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 40, Haiti, <=50K.
27, Private, 54861, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K.
63, Self-emp-not-inc, 74991, HS-grad, 9, Widowed, Farming-fishing, Unmarried, White, Male, 0, 0, 60, United-States, <=50K.
25, Private, 106552, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 20, United-States, <=50K.
51, Private, 27Iran, <=50K., 0, 40, United-States, <=50K.
18, Self-emp-inc, 378036, 12th, 8, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 10, United-States, <=50K.
41, Private, 127314, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 5178, 0, 40, United-States, >50K.
32, Private, 115963, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 50, United-States, <=50K.
19, Private, 332928, 11th, 7, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.40, United-States, <=50K.
41, Self-emp-not-inc, 178510, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K.
29, Private, 53147, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, Black, Male, 0, 0, 37, United-States, <=50K.
66, Private, 115880, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, 
66, Private, 115880, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 3818, 0, 40, United-States, <=50K.
57, Private, 375502, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K.
49, Self-emp-not-inc, 155659, 5th-6th, 3, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, >50K.
41, Self-emp-not-inc, 178510, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K.
29, Private, 53147, HS-grad, 9, Never-married, Adm-clerica
63, Private, 199888, HS-grad, 9, Divorced, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States, <=50K.
53, Private, 288216, Some-college, 10, Married-sr-married, Farming-fishing, Own-child, White, Male, 0, 0, 10, United-States, <=50K.
41, Private, 127314, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 5178, 0, 40, United-States, >50K.
32, Private, 115963, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 50, United-States, <=50K.
19, Private, 332928, 11th, 7, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.40, United-States, <=50K.539, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K.
50, Private, 268913, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, Iran, <=50K., 0, 40, United-States, <=50K.
18, Self-emp-inc, 378036, 12th, 8, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 10, United-States, <=50K.
41, Private, 127314, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 5178, 0, 40, United-States, >50K.
32, Private, 115963, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 50, United-States, <=50K.
19, Private, 332928, 11th, 7, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.40, United-States, <=50K.
41, Self-emp-not-inc, 178510, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K.
29, Private, 53147, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, Black, Male, 0, 0, 37, United-States, <=50K.
66, Private, 115880, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 3818, 0, 40, United-States, <=50K.
57, Private, 375502, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K.
49, Self-emp-not-inc, 155659, 5th-6th, 3, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, >50K.
41, Self-emp-not-inc, 178510, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K.
29, Private, 53147, HS-grad, 9, Never-married, Adm-clerica
63, Private, 199888, HS-grad, 9, Divorced, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States, <=50K.
53, Private, 288216, Some-college, 10, Married-spouse-absent, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
18, Self-emp-inc, 378036, 12th, 8, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 10, United-States, <=50K.
41, Private, 127314, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 5178, 0, 40, United-States, >50K.
32, Private, 115963, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 50, United-States, <=50K.
19, Private, 332928, 11th, 7, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.40, United-States, <=50K.
41, Self-emp-not-inc, 178510, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K.
